country_id,country_name,doc_id,path,old_detail_description,old_excerpt,new_detail_description,new_excerpt
1664,Fatehpur Sikri,ChIJ-w3Sy1qwbTkRK34UR2ffIWI,allplaces/1664/top_attractions/ChIJ-w3Sy1qwbTkRK34UR2ffIWI,"Amber Palace, also known as Amer Fort, is a stunning architectural marvel located in Jaipur, Rajasthan. This magnificent fort showcases a blend of Hindu and Muslim design elements, making it a unique cultural landmark. Visitors can enjoy elephant rides that add to the enchanting experience of exploring this historical site. The fort's intricate structures are built from various colored stones—milk white, light yellow, rose red, and pure white—which give it an amber-like appearance from afar.  Structure known as both Amer and Amber, with Hindu & Muslim elements & offering elephant rides.","Amber Palace, also known as Amer Fort, is a stunning architectural marvel located in Jaipur, Rajasthan. This magnificent fort showcases a blend of Hindu and Muslim design elements, making it a unique","Amber Palace in Jaipur blends Hindu and Muslim architecture. Built from colorful stones, it offers stunning views and elephant rides, making it a unique historical fortress to explore.",Amber Palace in Jaipur blends Hindu and Muslim architecture.
1664,Fatehpur Sikri,ChIJ0YwCbsHjDDkResZe6B7rO2U,allplaces/1664/top_attractions/ChIJ0YwCbsHjDDkResZe6B7rO2U,"The Lotus Temple, also known as the Bahá’í House of Worship, is a religious site that opened in 1986 and welcomes people of all religions. This distinctive place of worship in South Delhi resembles India's national flower with its ethereal marble construction. The temple's nine overlapping walls enclose a single cavernous interior space, reflecting the Bahai Temples' practice of being open to all.  Religious site also known as the Bahá’í House of Worship, opened in 1986 to those of all religions.","The Lotus Temple, also known as the Bahá’í House of Worship, is a religious site that opened in 1986 and welcomes people of all religions. This distinctive place of worship in South Delhi resembles In","The Lotus Temple in Fatehpur Sikri welcomes all faiths. Its marble petals form a unique, open interior space, symbolizing unity and peace in this Bahá'í House of Worship.",The Lotus Temple in Fatehpur Sikri welcomes all faiths.
1664,Fatehpur Sikri,ChIJK8h-FP2TczkRWnPZrrvWm_g,allplaces/1664/top_attractions/ChIJK8h-FP2TczkRWnPZrrvWm_g,"The Tomb of Hazrat Salim Chishti, located in Fatehpur Sikri near Agra and Delhi, is a stunning example of Mughal architecture. Built between 1580 and 1581, it is part of the imperial complex at Fatehpur Sikri. The tomb enshrines the burial place of Sufi saint Salim Chishti and is known for its elegant marble design.  Built circa 1580, this ornate marble tomb is the burial place of Sufi saint Salim Chishti.","The Tomb of Hazrat Salim Chishti, located in Fatehpur Sikri near Agra and Delhi, is a stunning example of Mughal architecture. Built between 1580 and 1581, it is part of the imperial complex at Fatehp",The Tomb of Hazrat Salim Chishti in Fatehpur Sikri is a marble masterpiece from 1580. It houses the tomb of Sufi saint Salim Chishti and showcases exquisite Mughal architecture within the imperial complex.,The Tomb of Hazrat Salim Chishti in Fatehpur Sikri is a marble masterpiece from 1580.
1664,Fatehpur Sikri,ChIJVe7LOOL8DDkR6jTPaSX8xuQ,allplaces/1664/top_attractions/ChIJVe7LOOL8DDkR6jTPaSX8xuQ,"Diwan-i-Aam, also known as the Hall of Public Audience, is a historic hall located within the Red Fort in Delhi. This rectangular-shaped hall was where the Mughal emperor would meet with the public to listen to their grievances and issues. It features a massive railing that separated the emperor from the people, and an alcove with a marble canopy where the emperor would sit. The hall has an impressive facade with nine arch openings adorned with gilded stucco work.  Hall inside a historic fort where the emperor would give audiences to the public.","Diwan-i-Aam, also known as the Hall of Public Audience, is a historic hall located within the Red Fort in Delhi. This rectangular-shaped hall was where the Mughal emperor would meet with the public to","Diwan-i-Aam is a historic hall in Fatehpur Sikri where the Mughal emperor met the public. It features nine arches, a marble canopy, and a railing separating the emperor from visitors.",Diwan-i-Aam is a historic hall in Fatehpur Sikri where the Mughal emperor met the public.
1664,Fatehpur Sikri,ChIJ__8PA_2TczkR-z3yA8UNztQ,allplaces/1664/top_attractions/ChIJ__8PA_2TczkR-z3yA8UNztQ,"Buland Darwaza is a grand sandstone gate built by the Mughal emperor Akbar in the early 17th century. It is one of the main attractions in Fatehpur Sikri, along with Jama Masjid, Sheikh Salim Chisti's Tomb, and other significant structures. The tomb of Salim Chishti, known for its exquisite Mughal architecture, is located near Buland Darwaza within the complex.  Massive sandstone palace gate constructed in the early 17th century by Mughal emperor Akbar.","Buland Darwaza is a grand sandstone gate built by the Mughal emperor Akbar in the early 17th century. It is one of the main attractions in Fatehpur Sikri, along with Jama Masjid, Sheikh Salim Chisti's","Buland Darwaza is a massive sandstone gate built by Mughal emperor Akbar in the early 17th century. It stands as a grand entrance to Fatehpur Sikri, showcasing impressive Mughal architecture and historical significance.",Buland Darwaza is a massive sandstone gate built by Mughal emperor Akbar in the early 17th century.
1664,Fatehpur Sikri,ChIJc61hUv2TczkR9Op_5tTwOD0,allplaces/1664/top_attractions/ChIJc61hUv2TczkR9Op_5tTwOD0,"Jodha Bai's Palace is a stunning red sandstone palace in Fatehpur Sikri, built by Akbar. It features a central courtyard and showcases a blend of Hindu and Mughal architectural styles. The palace is located near other attractions like Keoladeo National Park, Lohagarh Fort, Agra Fort, and Taj Mahal. This historical site is best visited during the winter season from October to March when the temperature ranges between 5°C to 24°C.  Red sandstone palace built by Akbar, with a central courtyard & a mix of Hindu & Mughal styles.","Jodha Bai's Palace is a stunning red sandstone palace in Fatehpur Sikri, built by Akbar. It features a central courtyard and showcases a blend of Hindu and Mughal architectural styles. The palace is l","Jodha Bai's Palace in Fatehpur Sikri features red sandstone architecture blending Hindu and Mughal styles around a central courtyard. Built by Akbar, it offers rich history and stunning design.",Jodha Bai's Palace in Fatehpur Sikri features red sandstone architecture blending Hindu and Mughal styles around a…
1664,Fatehpur Sikri,ChIJfY3unh14dDkRWNRcQl7cGFs,allplaces/1664/top_attractions/ChIJfY3unh14dDkRWNRcQl7cGFs,"The Tomb of Mariam-Uz-Zamani is a Mughal mausoleum in Agra, originally a Lodi Dynasty pavilion. Built by Emperor Jahangir in 1627 to honor his mother, Queen Mariam-Uz-Zamani, it showcases a blend of traditional and distinctive architectural styles. Located near Fatehpur Sikri on the Delhi-Agra National Highway, it's just a kilometer away from Akbar's tomb.  Lodi Dynasty pavilion turned into a Mughal mausoleum for Mariam, wife of Akbar & mother to Jahangir.","The Tomb of Mariam-Uz-Zamani is a Mughal mausoleum in Agra, originally a Lodi Dynasty pavilion. Built by Emperor Jahangir in 1627 to honor his mother, Queen Mariam-Uz-Zamani, it showcases a blend of t",The Tomb of Mariam-Uz-Zamani in Fatehpur Sikri is a Mughal mausoleum built by Jahangir in 1627 for his mother. It blends Lodi and Mughal architecture and lies near Akbar's tomb on the Delhi-Agra highway.,The Tomb of Mariam-Uz-Zamani in Fatehpur Sikri is a Mughal mausoleum built by Jahangir in 1627 for his mother.
1664,Fatehpur Sikri,ChIJnYZsDliRczkRd_C7EfMnS2s,allplaces/1664/top_attractions/ChIJnYZsDliRczkRd_C7EfMnS2s,"Diwan-E-Khas in Fatehpur Sikri is a stunning building that served as the private audience hall for Emperor Akbar. The central stone pillar, known as the Lotus Throne, features intricate carvings and was where the emperor met with guests and dignitaries. This Persian-style structure was reserved for royal members to discuss private matters and was also called the Jewel House due to its significance in Akbar's court.  Hall of Private Audience with an ornately carved central stone pillar, built for Emperor Akbar.","Diwan-E-Khas in Fatehpur Sikri is a stunning building that served as the private audience hall for Emperor Akbar. The central stone pillar, known as the Lotus Throne, features intricate carvings and w","Diwan-e-Khas in Fatehpur Sikri is Emperor Akbar's private audience hall, featuring a carved central stone pillar called the Lotus Throne where he met guests and dignitaries in a Persian-style setting.","Diwan-e-Khas in Fatehpur Sikri is Emperor Akbar's private audience hall, featuring a carved central stone pillar called…"
1664,Fatehpur Sikri,ChIJq6r6pOKTczkR5H2JnO7-GZs,allplaces/1664/top_attractions/ChIJq6r6pOKTczkR5H2JnO7-GZs,"Panch Mahal, located in Fatehpur Sikri, is a remarkable multistoried palace famous for its columnated construction and intricately carved pillars. This five-story pavilion was primarily used for the entertainment of Emperor Akbar and stands on the western side of the Fatehpur Sikri complex. Unlike the grand palaces in Rajasthan, Panch Mahal is a Persian wind tower.  Striking, multistoried palace known for its columnated construction & elaborate carved pillars.","Panch Mahal, located in Fatehpur Sikri, is a remarkable multistoried palace famous for its columnated construction and intricately carved pillars. This five-story pavilion was primarily used for the e","Panch Mahal in Fatehpur Sikri is a five-story palace with intricately carved pillars and open columns, built for Emperor Akbar's entertainment. It features unique Persian-style architecture distinct from typical Rajasthani palaces.","Panch Mahal in Fatehpur Sikri is a five-story palace with intricately carved pillars and open columns, built for Emperor…"
2150,Agonda,ChIJ5-RsIkLmvjsR-HO3fvESOA0,allplaces/2150/top_attractions/ChIJ5-RsIkLmvjsR-HO3fvESOA0,"The Syntheri Rocks is a park area that showcases a river with small rapids and rock formations that have been shaped and hollowed out over time. Visitors are required to pay an entry fee of 50/- per person and must navigate narrow roads for some off-roading before reaching the destination. The area offers ample parking space for both cars and bikes, but visitors should be prepared to walk down several flights of steps to access the rocks.  Park area featuring a river with small rapids & rock formations shaped & hollowed out over time.",The Syntheri Rocks is a park area that showcases a river with small rapids and rock formations that have been shaped and hollowed out over time. Visitors are required to pay an entry fee of 50/- per p,Syntheri Rocks features a river with small rapids and unique rock formations shaped by time. Access involves narrow roads and walking down steps. Parking is available for cars and bikes.,Syntheri Rocks features a river with small rapids and unique rock formations shaped by time.
